# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-06 17:37:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = bern_1.data.json
# init = 2 (Default)
# random
#   seed = 73782
# output
#   file = C:\Users\User\Documents\Data Analytics 2022 Lab\bern_1-20220306183720_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.928024
# Diagonal elements of inverse mass matrix:
# 0.490316
-8.01351,1,0.928024,2,3,0,9.36803,0.223966
-7.88635,1,0.928024,1,1,0,8.01928,0.242925
-8.15195,0.900573,0.928024,1,3,0,8.70242,0.477809
-9.22626,0.71296,0.928024,1,1,0,9.27346,0.588656
-7.99516,0.881049,0.928024,1,3,0,10.0462,0.226434
-8.98702,0.865813,0.928024,1,3,0,8.99309,0.144469
-8.28018,1,0.928024,2,3,0,8.87569,0.194448
-8.44565,0.860509,0.928024,1,3,0,9.6812,0.51528
-8.45882,0.995842,0.928024,1,1,0,8.70804,0.51678
-7.70639,1,0.928024,2,3,0,8.43411,0.284462
-8.19159,0.866303,0.928024,1,3,0,8.45966,0.483408
-7.76779,1,0.928024,1,1,0,8.06431,0.404654
-8.29603,0.848483,0.928024,1,1,0,8.29794,0.497261
-7.90756,1,0.928024,2,3,0,8.20941,0.437091
-7.69439,1,0.928024,1,1,0,7.84359,0.379903
-7.9562,0.923421,0.928024,1,1,0,7.95637,0.446315
-7.9562,0.629803,0.928024,1,1,0,8.96549,0.446315
-7.89762,1,0.928024,1,1,0,8.00657,0.43511
-7.91207,0.995508,0.928024,1,1,0,7.98814,0.43798
-8.11015,0.939733,0.928024,1,1,0,8.16467,0.471667
-8.12706,0.994675,0.928024,1,1,0,8.26944,0.474183
-7.76392,1,0.928024,1,1,0,8.0202,0.403556
-8.32806,0.921709,0.928024,2,3,0,8.33444,0.190056
-7.68832,0.956505,0.928024,1,3,0,8.51819,0.377272
-7.86382,0.934982,0.928024,1,3,0,8.04877,0.24685
-8.11868,0.944096,0.928024,1,1,0,8.1322,0.211093
-7.64071,0.998186,0.928024,1,3,0,8.07541,0.323684
-7.86973,0.95192,0.928024,2,3,0,7.96829,0.429343
-7.70591,1,0.928024,1,1,0,7.8238,0.384541
-7.96743,0.923233,0.928024,1,1,0,7.96839,0.448346
-7.66215,0.989745,0.928024,1,3,0,8.01596,0.304005
-8.08196,0.888021,0.928024,1,3,0,8.23371,0.46737
-8.08196,0.756616,0.928024,1,1,0,8.73002,0.46737
