# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-06 17:37:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = bern_1.data.json
# init = 2 (Default)
# random
#   seed = 73782
# output
#   file = C:\Users\User\Documents\Data Analytics 2022 Lab\bern_1-20220306183720_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.15014
# Diagonal elements of inverse mass matrix:
# 0.350854
-8.38017,0.838442,1.15014,1,1,0,8.41149,0.507626
-9.11215,0.776658,1.15014,1,1,0,9.28055,0.579443
-7.64306,1,1.15014,1,3,0,8.70104,0.346884
-7.73744,0.972322,1.15014,1,3,0,7.77033,0.274764
-7.73744,0.683363,1.15014,1,3,0,9.09821,0.274764
-8.77688,0.79965,1.15014,1,3,0,8.82924,0.156717
-9.07347,0.887594,1.15014,2,3,0,10.5753,0.139874
-8.14941,1,1.15014,1,1,0,8.88668,0.207673
-7.64095,0.983194,1.15014,1,3,0,8.11451,0.343526
-7.64581,0.936459,1.15014,2,3,0,7.9422,0.350287
-7.73543,0.972812,1.15014,1,3,0,7.77369,0.275335
-7.68093,1,1.15014,1,1,0,7.7249,0.294393
-7.64156,0.99762,1.15014,1,3,0,7.68462,0.344605
-8.91927,0.685478,1.15014,1,3,0,9.29453,0.148242
-8.30671,1,1.15014,1,1,0,8.84204,0.191989
-7.65548,0.98345,1.15014,2,3,0,8.40416,0.308352
-7.85285,0.956015,1.15014,1,3,0,7.85695,0.248844
-7.85285,0.8744,1.15014,1,1,0,8.27366,0.248844
-7.64645,0.9899,1.15014,1,3,0,7.85589,0.350988
-7.64645,0.83322,1.15014,1,3,0,8.12523,0.350988
-7.64645,0.595318,1.15014,1,3,0,9.34436,0.350988
-7.91266,0.947397,1.15014,2,3,0,7.97756,0.238597
-7.91266,0.598675,1.15014,1,3,0,10.0962,0.238597
-7.64914,0.984816,1.15014,2,3,0,8.01044,0.313389
-7.89557,0.939086,1.15014,2,3,0,8.0282,0.434697
-7.89557,0.773415,1.15014,1,1,0,8.40757,0.434697
-7.94605,0.982836,1.15014,1,1,0,8.02449,0.444452
-7.67861,1,1.15014,2,3,0,7.85718,0.372722
-7.6512,1,1.15014,1,1,0,7.67115,0.355533
-7.65629,0.981975,1.15014,2,3,0,7.72921,0.359556
-7.65629,0.932252,1.15014,1,3,0,7.84083,0.359556
-7.96426,0.909424,1.15014,1,3,0,8.08958,0.230769
-7.63945,0.990716,1.15014,2,3,0,8.01094,0.326479
-7.77948,0.896601,1.15014,2,3,0,8.16839,0.263988
-7.64746,0.933467,1.15014,2,3,0,8.22716,0.314964
-7.79354,0.96798,1.15014,2,3,0,7.85711,0.411585
-7.66991,1,1.15014,1,1,0,7.75417,0.368161
-8.8,0.391004,1.15014,2,3,0,11.5274,0.155286
-7.65203,0.947487,1.15014,1,3,0,8.81326,0.356236
-7.69741,0.955003,1.15014,2,3,0,7.85027,0.381158
-7.7447,0.994826,1.15014,2,3,0,7.75761,0.397846
-7.68071,1,1.15014,2,3,0,7.73017,0.373747
-7.63821,1,1.15014,1,3,0,7.67114,0.334594
-8.62982,0.41139,1.15014,2,3,0,11.5739,0.166375
-8.93337,0.945471,1.15014,1,1,0,9.08438,0.147443
-8.91564,1,1.15014,1,1,0,9.21011,0.148448
-8.95757,0.992694,1.15014,1,1,0,9.22975,0.14609
-7.71929,0.920929,1.15014,1,3,0,9.16826,0.389466
-8.60915,0.790842,1.15014,1,3,0,8.60987,0.533084
-7.70487,1,1.15014,1,3,0,8.30445,0.384135
-7.79774,0.989849,1.15014,2,3,0,7.80891,0.41266
-9.18803,0.619414,1.15014,1,1,0,9.18805,0.585614
-8.31418,1,1.15014,1,1,0,9.02192,0.499551
-10.1006,0.544063,1.15014,1,1,0,10.1751,0.64873
-9.74115,1,1.15014,1,1,0,10.64,0.625969
-7.63889,1,1.15014,1,3,0,9.18843,0.338519
-7.64834,0.994609,1.15014,2,3,0,7.66501,0.314124
-7.64834,0.712197,1.15014,2,3,0,9.37894,0.314124
-8.4552,0.799319,1.15014,1,3,0,8.57734,0.516369
-7.67566,0.960987,1.15014,2,3,0,8.69961,0.296816
-7.85142,0.939737,1.15014,2,3,0,8.07819,0.249109
-7.99625,0.964004,1.15014,1,1,0,8.02815,0.226285
-8.51747,0.888424,1.15014,1,1,0,8.53238,0.174498
-8.85572,0.937469,1.15014,1,1,0,8.98002,0.151928
-8.07992,1,1.15014,1,1,0,8.69557,0.21561
-8.70552,0.957654,1.15014,2,3,0,8.7215,0.161277
-8.56137,1,1.15014,1,1,0,8.85635,0.171239
-8.20519,1,1.15014,1,1,0,8.5528,0.201789
-7.66507,1,1.15014,2,3,0,8.12047,0.365364
-7.70995,0.985481,1.15014,1,1,0,7.71364,0.386073
-7.67581,1,1.15014,1,1,0,7.7064,0.371311
-8.02817,0.913841,1.15014,1,3,0,8.02833,0.45878
-8.02817,0.713661,1.15014,1,1,0,8.71196,0.45878
-9.62193,0.784755,1.15014,2,3,0,9.64507,0.617875
-8.13577,1,1.15014,1,1,0,9.15895,0.475461
-7.97059,1,1.15014,1,1,0,8.16857,0.44891
-7.97059,0.755848,1.15014,1,1,0,8.53978,0.44891
-7.97059,0.703972,1.15014,1,1,0,8.66486,0.44891
-7.74289,1,1.15014,2,3,0,7.91854,0.273241
-10.289,0.482526,1.15014,2,3,0,11.6689,0.659798
-7.99071,1,1.15014,1,1,0,9.5032,0.452448
-7.64524,1,1.15014,1,3,0,7.88856,0.349637
-7.6731,0.991135,1.15014,1,1,0,7.67331,0.369898
-7.73411,0.980188,1.15014,1,1,0,7.73882,0.394487
-7.86106,0.987459,1.15014,2,3,0,7.86123,0.247346
-8.33271,0.958131,1.15014,2,3,0,8.36563,0.501858
-7.95653,1,1.15014,1,1,0,8.26783,0.446376
-8.80473,0.745185,1.15014,1,1,0,8.84134,0.552396
-8.53637,1,1.15014,1,1,0,8.98255,0.525371
-8.10952,1,1.15014,2,3,0,8.49782,0.471571
-7.84884,0.952846,1.15014,1,3,0,8.46094,0.249587
-7.8951,0.988135,1.15014,1,1,0,7.9435,0.241457
-10.4707,0.567562,1.15014,1,3,0,10.7549,0.0876701
-8.7829,1,1.15014,1,1,0,10.2066,0.156342
-7.83233,0.964285,1.15014,2,3,0,9.16845,0.252736
-7.9587,0.968137,1.15014,1,1,0,7.98911,0.231575
-8.50224,0.960778,1.15014,2,3,0,8.51145,0.175657
-9.95467,0.775333,1.15014,1,1,0,9.95535,0.103235
-10.7013,0.915848,1.15014,1,1,0,10.9126,0.0816836
-9.05043,1,1.15014,1,1,0,10.4719,0.141076
-7.66581,0.983527,1.15014,1,3,0,8.86629,0.301885
-8.01626,0.923693,1.15014,1,3,0,8.02722,0.223604
-7.63857,0.995663,1.15014,2,3,0,8.02455,0.337211
-7.78421,0.960967,1.15014,1,3,0,7.81147,0.262893
-7.71534,1,1.15014,1,1,0,7.77647,0.281456
-8.11206,0.890099,1.15014,1,3,0,8.31961,0.471952
-7.8556,0.672503,1.15014,2,3,0,9.7531,0.426291
-7.84443,1,1.15014,1,1,0,7.91844,0.423812
-7.84443,0.622286,1.15014,1,3,0,9.6507,0.423812
-7.66942,1,1.15014,1,1,0,7.787,0.367889
-10.2733,0.432691,1.15014,2,3,0,11.4948,0.0932401
-8.93077,1,1.15014,1,1,0,10.0922,0.14759
-8.33959,1,1.15014,1,1,0,8.86619,0.18903
-7.68706,1,1.15014,1,3,0,8.19294,0.291764
-7.70972,0.970099,1.15014,2,3,0,7.87651,0.28332
-7.63827,0.973352,1.15014,2,3,0,7.87386,0.331429
-7.82162,0.951499,1.15014,1,3,0,7.84145,0.418537
-7.66164,1,1.15014,1,1,0,7.76912,0.363225
-7.7946,0.956492,1.15014,1,3,0,7.87848,0.260556
-8.09334,0.97551,1.15014,2,3,0,8.09932,0.214019
-8.6324,0.889291,1.15014,1,1,0,8.65778,0.166196
-7.81693,0.956797,1.15014,2,3,0,8.99404,0.417413
-8.45713,0.908933,1.15014,2,3,0,8.4703,0.516589
-7.82843,1,1.15014,1,1,0,8.25643,0.420143
-7.92601,0.96726,1.15014,1,1,0,7.97587,0.440679
-7.72243,0.977014,1.15014,1,3,0,8.05938,0.279209
-7.91905,0.948312,1.15014,1,1,0,7.92164,0.237583
-7.83776,1,1.15014,1,1,0,7.93712,0.251685
-7.67561,1,1.15014,2,3,0,7.80015,0.371206
-7.67561,0.451744,1.15014,1,3,0,10.2342,0.371206
-8.02419,0.745092,1.15014,2,3,0,8.87648,0.45812
-8.08275,0.979933,1.15014,1,1,0,8.2043,0.467492
-7.63847,1,1.15014,1,3,0,7.9869,0.329992
-7.69208,0.985453,1.15014,1,3,0,7.70026,0.378918
-7.96647,0.908983,1.15014,1,3,0,8.16118,0.230451
-8.04623,0.980802,1.15014,1,1,0,8.11624,0.219745
-8.73362,0.860153,1.15014,1,1,0,8.74216,0.159455
-8.73362,0.763707,1.15014,1,3,0,10.918,0.159455
-7.85939,1,1.15014,2,3,0,8.48752,0.427119
-7.64097,0.949382,1.15014,2,3,0,8.10302,0.343576
-7.70403,0.96578,1.15014,2,3,0,7.80279,0.383811
-7.6973,1,1.15014,1,1,0,7.71979,0.381114
-8.52201,0.803943,1.15014,1,3,0,8.52467,0.52381
-8.72337,0.932618,1.15014,1,1,0,8.99785,0.544592
-7.8271,1,1.15014,1,1,0,8.42212,0.419831
-7.68866,1,1.15014,1,1,0,7.78549,0.377423
-10.2834,0.491288,1.15014,1,3,0,10.3525,0.659479
-9.15421,1,1.15014,1,1,0,10.2778,0.582885
-8.3004,1,1.15014,2,3,0,8.9923,0.497815
-7.70711,1,1.15014,1,3,0,8.0995,0.385
-7.66693,0.865544,1.15014,2,3,0,8.34352,0.301264
-7.87272,0.965057,1.15014,2,3,0,7.93276,0.429977
-7.79752,0.87537,1.15014,2,3,0,8.50944,0.259915
-7.7617,1,1.15014,1,1,0,7.81586,0.268294
-7.64154,0.948829,1.15014,2,3,0,8.09906,0.322229
-7.99226,0.884782,1.15014,2,3,0,8.27677,0.452716
-7.99226,0.394096,1.15014,1,1,0,9.78291,0.452716
-8.71833,0.777243,1.15014,1,1,0,8.77064,0.544099
-7.77145,1,1.15014,1,1,0,8.394,0.405678
-7.7371,1,1.15014,2,3,0,7.78716,0.395451
-7.65173,0.994603,1.15014,1,3,0,7.75423,0.311186
-7.70349,0.937713,1.15014,2,3,0,7.98381,0.3836
-7.64001,0.998712,1.15014,1,3,0,7.69859,0.325112
-7.64657,0.997873,1.15014,1,3,0,7.65136,0.351118
-7.78911,0.957849,1.15014,1,3,0,7.84286,0.261779
-7.64601,0.973669,1.15014,2,3,0,7.94295,0.350515
-7.64055,0.923887,1.15014,2,3,0,8.00515,0.342769
-7.64997,0.992565,1.15014,2,3,0,7.6749,0.354451
-7.66288,0.995876,1.15014,1,1,0,7.66495,0.364011
-7.64175,0.990554,1.15014,2,3,0,7.71141,0.321888
-7.64145,0.991332,1.15014,2,3,0,7.68708,0.322377
-8.12598,0.833236,1.15014,2,3,0,8.55251,0.474023
-7.76902,1,1.15014,1,1,0,8.01749,0.405
-7.69945,1,1.15014,1,1,0,7.7574,0.381989
-7.65387,1,1.15014,2,3,0,7.68988,0.309528
-7.65387,0.88753,1.15014,1,3,0,8.04617,0.309528
-7.95686,0.927548,1.15014,2,3,0,8.11561,0.446435
-7.95686,0.893013,1.15014,1,1,0,8.24002,0.446435
-7.95686,0.915327,1.15014,1,1,0,8.20005,0.446435
-7.76701,1,1.15014,2,3,0,7.91444,0.404433
