# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = code_1_model
# start_datetime = 2022-03-08 10:28:31 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 0
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = fixed_param
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\User\AppData\Local\Temp\tmptd51afq8\qxpsa_tz.json
# init = 2 (Default)
# random
#   seed = 71442
# output
#   file = C:\Users\User\AppData\Local\Temp\tmptd51afq8\code_1-20220308112831.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,lambda,y_sim.1,y_sim.2,y_sim.3,y_sim.4,y_sim.5,y_sim.6,y_sim.7
0,0,63.4483,51,54,60,66,63,58,59
0,0,77.246,59,67,84,89,80,76,85
0,0,81.6125,84,86,77,81,98,91,85
0,0,72.0036,65,79,64,75,75,68,59
0,0,155.118,162,156,157,142,179,145,160
0,0,159.451,156,154,147,137,141,174,145
0,0,7.20222,7,6,4,6,8,7,4
0,0,225.222,232,259,221,233,226,221,220
0,0,73.8916,92,79,79,81,75,82,75
0,0,107.901,93,113,108,102,111,120,102
0,0,135.374,135,132,134,146,154,138,120
0,0,158.243,155,151,159,151,167,153,154
0,0,128.242,131,142,132,137,120,136,136
0,0,7.47559,6,10,6,8,6,3,5
0,0,30.9154,37,38,32,32,30,24,41
0,0,3.5289,2,6,5,1,4,1,3
0,0,41.8389,52,44,49,48,32,43,48
0,0,61.8153,65,80,77,59,55,54,53
0,0,138.884,143,141,122,137,147,126,137
0,0,37.7048,42,40,31,30,48,33,32
0,0,148.31,145,171,144,149,132,147,136
0,0,40.6416,43,35,43,41,35,50,46
0,0,26.6838,29,24,17,28,26,30,30
0,0,143.413,123,132,152,142,137,155,158
0,0,132.337,134,133,138,129,132,147,132
0,0,51.234,46,44,52,62,51,41,55
0,0,67.9244,59,57,63,64,76,78,55
0,0,204.931,216,204,197,195,207,227,208
0,0,60.7838,55,49,73,63,54,58,53
0,0,74.2496,69,79,73,81,77,79,74
0,0,32.0586,36,25,30,33,29,36,37
0,0,96.8923,88,91,113,86,99,85,107
0,0,229.962,237,254,220,223,219,220,227
0,0,74.6233,79,83,61,78,91,73,87
0,0,21.115,17,27,22,16,17,23,16
0,0,58.4173,71,46,62,54,51,75,58
0,0,33.5363,44,31,37,42,29,20,42
0,0,79.7045,73,74,92,55,77,73,80
0,0,84.4266,84,60,86,69,75,89,96
0,0,71.9153,57,56,71,79,64,63,68
0,0,101.084,90,104,106,102,110,106,122
0,0,32.7443,26,32,29,28,44,34,28
0,0,243.801,234,265,232,248,247,258,247
0,0,69.1508,54,71,84,61,66,67,74
0,0,33.3103,26,34,33,30,30,36,24
0,0,3.94232,3,1,2,3,1,0,6
0,0,49.8576,43,55,49,43,54,47,44
0,0,166.766,166,166,155,143,163,177,165
0,0,60.8918,78,63,67,60,51,52,70
0,0,193.961,198,179,195,195,237,203,197
0,0,10.6739,12,10,12,15,12,15,4
0,0,121.711,122,124,107,114,125,120,138
0,0,37.3833,39,37,30,33,33,32,40
0,0,125.016,115,113,124,122,124,122,129
0,0,35.4092,34,39,30,38,35,37,40
0,0,81.3504,75,85,77,81,89,83,70
0,0,98.9769,99,98,111,103,92,101,103
0,0,174.193,182,187,175,191,186,173,164
0,0,170.609,175,173,170,133,155,151,166
0,0,1.7487,2,2,1,5,4,3,1
0,0,82.7542,72,89,90,71,77,105,81
0,0,161.833,134,163,158,164,152,156,159
0,0,98.8547,100,84,95,93,95,95,102
0,0,109.016,96,102,106,112,110,93,121
0,0,59.8654,45,64,57,58,57,63,63
0,0,53.4171,42,54,58,59,48,51,51
0,0,126.68,133,117,126,114,110,112,138
0,0,109.175,102,112,91,102,124,105,100
0,0,36.2507,28,38,29,41,34,39,39
0,0,208.921,193,210,230,202,213,192,225
0,0,55.3681,67,52,40,70,46,62,54
0,0,125.979,120,151,120,129,140,119,147
0,0,228.967,196,243,251,246,216,230,232
0,0,148.102,144,137,134,146,137,168,164
0,0,142.247,150,127,170,146,130,143,144
0,0,36.1875,33,41,42,42,39,38,39
0,0,8.9863,10,15,14,10,10,9,11
0,0,10.8277,7,9,10,9,12,12,5
0,0,95.5795,95,93,93,89,111,96,103
0,0,92.8297,115,84,77,97,88,105,67
0,0,103.485,106,81,121,93,102,109,97
0,0,226.109,229,207,228,249,226,241,240
0,0,91.675,90,94,93,85,99,84,86
0,0,226.29,223,234,210,213,228,218,247
0,0,90.0044,85,97,87,99,102,89,99
0,0,29.6335,29,32,29,42,34,20,32
0,0,126.656,113,115,126,134,127,113,139
0,0,89.164,77,103,100,90,81,94,91
0,0,9.57179,13,10,6,6,15,8,10
0,0,41.0354,27,47,46,42,40,46,37
0,0,30.7921,30,26,33,23,26,29,29
0,0,69.8149,97,69,64,78,61,77,82
0,0,0.112669,0,0,0,0,0,0,0
0,0,151.5,133,150,159,153,164,176,146
0,0,272.781,258,266,292,286,258,287,227
0,0,20.3098,19,18,16,16,16,18,23
0,0,211.298,215,227,218,190,219,230,211
0,0,145.534,163,167,144,144,145,155,130
0,0,54.7247,66,58,50,58,50,40,55
0,0,22.823,25,22,15,23,22,19,24
0,0,114.506,112,112,119,113,115,115,124
0,0,40.8258,49,52,38,27,30,43,39
0,0,52.283,70,54,54,60,53,53,52
0,0,145.649,156,172,138,144,158,141,163
0,0,86.0953,81,95,95,76,74,105,95
0,0,43.5517,47,46,45,32,39,38,35
0,0,251.024,267,278,239,265,247,252,266
0,0,86.2076,96,102,89,74,87,91,81
0,0,219.572,224,213,220,203,213,210,205
0,0,43.1463,49,44,46,39,48,40,51
0,0,71.5444,85,68,71,66,70,75,86
0,0,33.7797,37,26,23,37,32,31,32
0,0,82.0828,79,78,70,89,74,80,78
0,0,1.40213,0,2,3,1,0,2,1
0,0,78.27,76,69,79,70,76,87,85
0,0,55.3165,49,59,58,54,49,56,62
0,0,69.0245,61,70,65,86,75,76,62
0,0,108.588,115,90,115,97,106,85,101
0,0,168.903,182,151,155,129,153,158,157
0,0,34.5039,38,27,34,33,37,34,40
0,0,240.628,246,247,271,231,230,243,242
0,0,103.176,104,106,108,109,114,111,93
0,0,28.7262,29,24,30,31,28,27,40
0,0,73.1543,78,78,69,75,59,63,67
0,0,167.568,142,150,199,169,207,167,189
0,0,90.8787,99,76,100,97,72,103,80
0,0,19.2708,26,17,18,16,19,23,21
0,0,127.229,116,105,123,133,131,145,131
0,0,98.5031,92,96,90,101,108,91,102
0,0,53.6872,58,44,62,56,62,47,36
0,0,3.9133,5,2,3,2,4,5,5
0,0,147.832,159,140,163,126,133,131,141
0,0,40.3746,41,34,39,36,45,34,40
0,0,49.4628,38,53,44,58,50,56,53
0,0,108.689,110,106,120,108,103,107,126
0,0,38.7433,40,26,41,49,47,31,46
0,0,54.9497,55,50,43,38,63,60,50
0,0,184.054,183,188,190,188,169,182,196
0,0,88.9058,89,98,82,90,91,82,93
0,0,22.8477,20,20,22,22,18,27,29
0,0,45.2895,39,50,39,39,39,56,48
0,0,170.666,184,164,165,192,152,169,165
0,0,59.1954,46,53,47,55,65,67,48
0,0,81.9127,100,66,70,81,83,67,89
0,0,133.332,139,164,140,123,116,133,119
0,0,132.409,119,148,143,138,147,137,136
0,0,47.118,41,42,59,44,41,45,53
0,0,238.435,234,232,247,258,236,217,236
0,0,28.2356,32,29,25,26,33,26,30
0,0,71.6231,77,75,68,79,81,72,73
0,0,36.4683,35,40,37,38,20,34,42
0,0,136.498,118,140,121,113,121,124,131
0,0,65.3871,65,65,56,63,78,63,53
0,0,52.5981,56,55,36,49,50,44,62
0,0,29.6222,30,38,36,33,36,38,29
0,0,73.0527,74,77,69,63,76,73,74
0,0,157.074,154,152,174,166,166,154,145
0,0,9.93297,10,13,10,13,11,12,4
0,0,94.1227,89,98,85,89,101,97,109
0,0,321.539,333,317,323,313,333,323,349
0,0,69.837,66,73,78,75,68,59,92
0,0,41.2427,47,40,43,37,53,45,47
0,0,340.898,333,359,351,335,330,340,338
0,0,26.0837,28,29,29,28,27,25,24
0,0,64.6948,78,60,75,64,61,64,63
0,0,13.3823,21,14,10,10,16,19,16
0,0,76.5452,72,69,70,78,75,79,78
0,0,38.819,33,34,41,42,49,42,29
0,0,134.174,122,135,134,129,149,121,141
0,0,87.1406,92,74,75,87,90,104,71
0,0,181.851,171,181,172,171,171,182,169
0,0,27.8592,20,27,30,24,29,38,22
0,0,140.623,146,152,148,123,149,160,157
0,0,106.334,94,112,126,111,120,103,109
0,0,2.47244,2,6,1,2,2,2,2
0,0,54.2618,60,44,68,62,70,47,48
0,0,157.768,136,166,147,172,165,155,164
0,0,118.613,109,116,115,115,106,104,115
0,0,10.764,12,13,10,8,10,12,7
0,0,12.4064,17,13,13,16,10,15,15
0,0,42.0987,53,37,48,35,59,46,43
0,0,144.89,126,144,149,137,152,139,165
0,0,37.4811,38,30,40,36,46,29,34
0,0,119.991,127,120,115,112,127,120,115
0,0,11.3724,12,11,7,7,15,8,13
0,0,110.859,100,114,107,108,99,108,104
0,0,140.356,141,152,132,143,130,132,153
0,0,6.07119,6,8,6,5,3,3,8
0,0,100.023,97,117,112,113,92,102,107
0,0,26.3378,28,35,23,40,20,21,24
0,0,76.0861,81,77,64,71,90,70,64
0,0,152.547,156,176,147,144,148,137,132
0,0,141.317,143,138,150,157,118,136,141
0,0,64.4633,56,66,60,64,61,62,63
0,0,211.322,225,194,231,192,210,202,205
0,0,206.091,185,177,213,192,188,199,202
0,0,100.253,106,111,95,100,87,93,110
0,0,109.693,114,104,116,130,103,103,101
