Season,Champions,Series,Games,Finals MVP
1970,New York Knicks,4–3,7,Willis Reed
1971,Milwaukee Bucks,4–0,4,Lew Alcindor
1972,Los Angeles Lakers,4–1,5,Wilt Chamberlain
1973,New York Knicks,4–1,5,Willis Reed
1974,Boston Celtics,4–3,7,John Havlicek
1975,Golden State Warriors,4–0,4,Rick Barry
1976,Boston Celtics,4–2,6,Jo Jo White
1977,Portland Trail Blazers,4–2,6,Bill Walton
1978,Washington Bullets,4–3,7,Wes Unseld
1979,Seattle SuperSonics,4–1,5,Dennis Johnson
1980,Los Angeles Lakers,4–2,6,Magic Johnson
1981,Boston Celtics,4–2,6,Cedric Maxwell
1982,Los Angeles Lakers,4–2,6,Magic Johnson
1983,Philadelphia 76ers,4–0,4,Moses Malone
1984,Boston Celtics,4–3,7,Larry Bird
1985,Los Angeles Lakers,4–2,6,Kareem Abdul-Jabbar
1986,Boston Celtics,4–2,6,Larry Bird
1987,Los Angeles Lakers,4–2,6,Magic Johnson
1988,Los Angeles Lakers,4–3,7,James Worthy
1989,Detroit Pistons,4–0,4,Joe Dumars
1990,Detroit Pistons,4–1,5,Isiah Thomas
1991,Chicago Bulls,4–1,5,Michael Jordan
1992,Chicago Bulls,4–2,6,Michael Jordan
1993,Chicago Bulls,4–2,6,Michael Jordan
1994,Houston Rockets,4–3,7,Hakeem Olajuwon
1995,Houston Rockets,4–0,4,Hakeem Olajuwon
1996,Chicago Bulls,4–2,6,Michael Jordan
1997,Chicago Bulls,4–2,6,Michael Jordan
1998,Chicago Bulls,4–2,6,Michael Jordan
1999,San Antonio Spurs,4–1,5,Tim Duncan
2000,Los Angeles Lakers,4–2,6,Shaquille O'Neal
2001,Los Angeles Lakers,4–1,5,Shaquille O'Neal
2002,Los Angeles Lakers,4–0,4,Shaquille O'Neal
2003,San Antonio Spurs,4–2,6,Tim Duncan
2004,Detroit Pistons,4–1,5,Chauncey Billups
2005,San Antonio Spurs,4–3,7,Tim Duncan
2006,Miami Heat,4–2,6,Dwyane Wade
2007,San Antonio Spurs,4–0,4,Tony Parker
2008,Boston Celtics,4–2,6,Paul Pierce
2009,Los Angeles Lakers,4–1,5,Kobe Bryant
2010,Los Angeles Lakers,4–3,7,Kobe Bryant
2011,Dallas Mavericks,4–2,6,Dirk Nowitzki
2012,Miami Heat,4–1,5,LeBron James
2013,Miami Heat,4–3,7,LeBron James
2014,San Antonio Spurs,4–1,5,Kawhi Leonard
2015,Golden State Warriors,4–2,6,Andre Iguodala
2016,Cleveland Cavaliers,4–3,7,LeBron James
2017,Golden State Warriors,4–1,5,Kevin Durant
2018,Golden State Warriors,4–0,4,Kevin Durant
2019,Toronto Raptors,4–2,6,Kawhi Leonard
2020,Los Angeles Lakers,4–2,6,LeBron James
2021,Milwaukee Bucks,4–2,6,Giannis Antetokounmpo
